PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
1000,Travel,neutral,self-spoken-monologues,self-shot,Bengali
1001,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1002,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1003,Kids Comedy,happy,lip-syncing,reaction videos,Bengali
1004,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1005,Couple Romance,neutral,lip-syncing,collab,Bengali
1006,Heartbreak Romance,sad,lip-syncing,videos-text-special-effects,Bengali
1007,Friends Comedy,happy,lip-syncing,self-shot,Bengali
1008,Memes,happy,self-spoken-monologues,videos-with-text,Bengali
1009,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1010,Dance,affection,self-spoken-monologues,self-shot,Bengali
1011,Friends Comedy,happy,lip-syncing,special-effects,Bengali
1012,Couple Romance,neutral,lip-syncing,collab,Bengali
1013,Couple Comedy,happy,lip-syncing,collab,Bengali
1014,Arts,neutral,background-song-with-lyrics,self-shot,Bengali
1015,Travel,neutral,background-song-with-lyrics,self-shot,Bengali
1016,Devotion,affection,self-spoken-monologues,self-shot,Bengali
1017,Fashion,happy,background-song-with-lyrics,special-effects,Bengali
1018,Memes,happy,background-song-with-lyrics,movie/tv-show,Bengali
1019,Nature,neutral,background-song-with-lyrics,special-effects,Bengali
1020,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1021,Celeb,affection,background-song-with-lyrics,movie/tv-show,Bengali
1022,Onesided Romance,neutral,lip-syncing,collab,Bengali
1023,Couple Romance,affection,lip-syncing,self-shot,Bengali
1024,Couple Romance,happy,lip-syncing,collab,Bengali
1025,Nature,neutral,background-song-with-lyrics,special-effects,Bengali
1026,Onesided Romance,neutral,background-song-with-lyrics,slideshow,Bengali
1027,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1028,Couple Romance,affection,lip-syncing,special-effects,Bengali
1029,Fitness,neutral,self-spoken-monologues,special-effects,Bengali
1030,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1031,Sports,neutral,self-spoken-dialogues,slideshow,Bengali
1032,Heartbreak Romance,sad,background-song-with-lyrics,videos-text-special-effects,Bengali
1033,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1034,Couple Romance,neutral,background-song-with-lyrics,slideshow,Bengali
1035,Couple Comedy,happy,lip-syncing,self-shot,Bengali
1036,Fails,happy,background-song-with-lyrics,reaction videos,Bengali
1037,Onesided Romance,happy,lip-syncing,self-shot,Bengali
1038,Dance,happy,lip-syncing,reaction videos,Bengali
1039,Onesided Romance,happy,background-song-with-lyrics,collab,Bengali
1040,Couple Comedy,happy,lip-syncing,videos-text-special-effects,Bengali
1041,Nature,neutral,background-song-with-lyrics,self-shot,Bengali
1042,Couple Romance,affection,self-spoken-monologues,videos-text-special-effects,Bengali
1043,Heartbreak Romance,sad,background-song-with-lyrics,videos-text-special-effects,Bengali
1044,Fails,happy,self-spoken-monologues,self-shot,Bengali
1045,Dance,happy,lip-syncing,self-shot,Bengali
1046,Fails,happy,self-spoken-monologues,reaction videos,Bengali
1047,Couple Comedy,happy,self-spoken-dialogues,special-effects,Bengali
1048,Nature,neutral,self-spoken-monologues,self-shot,Bengali
1049,Dance,affection,background-song-with-lyrics,collab,Bengali
1050,Devotion,affection,lip-syncing,self-shot,Bengali
1051,Couple Romance,affection,lip-syncing,self-shot,Bengali
1052,Couple Romance,happy,lip-syncing,collab,Bengali
1053,Photography,happy,background-song-with-lyrics,special-effects,Bengali
1054,Couple Romance,affection,lip-syncing,collab,Bengali
1055,Devotion,neutral,background-song-with-lyrics,videos-text-special-effects,Bengali
1056,Fitness,confidence,self-spoken-monologues,self-shot,Bengali
1057,Kids Comedy,happy,lip-syncing,self-shot,Bengali
1058,Photography,neutral,background-song-with-lyrics,image,Bengali
1059,Heartbreak Romance,sad,background-song-with-lyrics,slideshow,Bengali
1060,Fitness,happy,background-song-with-lyrics,special-effects,Bengali
1061,Stunts,confidence,background-song-with-lyrics,special-effects,Bengali
1062,Arts,affection,background-song-with-lyrics,special-effects,Bengali
1063,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1064,Kids Comedy,happy,lip-syncing,special-effects,Bengali
1065,Animals,neutral,background-song-with-lyrics,self-shot,Bengali
1066,Dance,happy,background-song-with-lyrics,self-shot,Bengali
1067,Fitness,neutral,self-spoken-monologues,self-shot,Bengali
1068,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1069,Fashion,happy,background-song-with-lyrics,videos-text-special-effects,Bengali
1070,Photography,neutral,background-song-with-lyrics,special-effects,Bengali
1071,Dance,happy,lip-syncing,self-shot,Bengali
1072,Food,neutral,background-song-with-lyrics,self-shot,Bengali
1073,Couple Comedy,happy,lip-syncing,videos-text-special-effects,Bengali
1074,Comedians,happy,self-spoken-dialogues,movie/tv-show,Bengali
1075,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1076,Couple Comedy,happy,lip-syncing,special-effects,Bengali
1077,Couple Romance,affection,lip-syncing,special-effects,Bengali
1078,Couple Romance,affection,lip-syncing,collab,Bengali
1079,Dance,happy,lip-syncing,self-shot,Bengali
1080,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1081,Heartbreak Romance,sad,background-song-with-lyrics,videos-text-special-effects,Bengali
1082,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1083,Couple Romance,affection,lip-syncing,collab,Bengali
1084,Patriotism,neutral,background-song-with-lyrics,self-shot,Bengali
1085,Onesided Romance,affection,lip-syncing,self-shot,Bengali
1086,Dance,affection,self-spoken-monologues,special-effects,Bengali
1087,Nature,neutral,self-spoken-monologues,videos-text-special-effects,Bengali
1088,Dance,neutral,lip-syncing,movie/tv-show,Bengali
1089,Nature,neutral,background-song-with-lyrics,special-effects,Bengali
1090,Fashion,neutral,background-song-with-lyrics,self-shot,Bengali
1091,Couple Comedy,happy,lip-syncing,reaction videos,Bengali
1092,Celeb,happy,lip-syncing,self-shot,Bengali
1093,Stunts,confidence,background-song-with-lyrics,videos-text-special-effects,Bengali
1094,Photography,neutral,background-song-with-lyrics,self-shot,Bengali
1095,Fitness,neutral,self-spoken-monologues,self-shot,Bengali
1096,Devotion,affection,background-song-with-lyrics,animation,Bengali
1097,Onesided Romance,sad,background-song-with-lyrics,self-shot,Bengali
1098,Couple Romance,affection,lip-syncing,self-shot,Bengali
1099,Festival,affection,lip-syncing,videos-text-special-effects,Bengali
1100,Devotion,neutral,self-spoken-monologues,videos-text-special-effects,Bengali
1101,Arts,happy,background-song-with-lyrics,self-shot,Bengali
1102,Friends Comedy,happy,lip-syncing,self-shot,Bengali
1103,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1104,Food,happy,self-spoken-monologues,self-shot,Bengali
1105,Stunts,confidence,self-spoken-monologues,self-shot,Bengali
1106,Onesided Romance,affection,self-spoken-monologues,videos-with-text,Bengali
1107,Couple Comedy,sad,lip-syncing,reaction videos,Bengali
